id,lat,lng,price,gross size,rooms,type,planta
2496,43.36678133,-8.422041684,0,33,0,garage,1
2497,43.36678133,-8.422041684,0,33,0,garage,1
4000,41.67639124,-3.684433243,0,33,0,garage,0
4937,41.64479003,1.142224427,0,33,0,garage,7
5813,37.37952503,-5.981249746,0,33,0,garage,1
5862,38.61033016,-1.106638482,0,33,0,garage,2
6547,38.61354868,-1.112959562,0,33,0,garage,1
6568,38.61354868,-1.112959562,0,33,0,garage,1
6875,43.37065947,-5.855600159,0,33,0,flat,5
16923,36.71201467,-4.43990116,0,33,0,premise,2
17467,36.71201467,-4.43990116,0,33,0,premise,2
19832,38.52845288,-0.166158437,0,33,0,flat,3
27415,37.19924136,-3.628685322,0,33,0,garage,1
2819,27.85401635,-15.43947882,0,34,0,garage,0
3323,39.95454699,-0.06360728,0,34,0,garage,2
4625,37.40669375,-5.934591122,0,34,0,flat,8
5766,37.37952503,-5.981249746,0,34,0,garage,1
5812,37.37952503,-5.981249746,0,34,0,garage,1
5913,38.61303847,-1.117876128,0,34,0,garage,1
6550,38.61354868,-1.112959562,0,34,0,garage,1
6552,38.61354868,-1.112959562,0,34,0,garage,1
11735,41.44859075,2.251442194,0,34,0,premise,2
13511,39.56463773,2.626562627,0,34,0,flat,4
15811,41.41870336,2.179866123,0,34,0,flat,3
19119,41.40080896,2.160810109,0,34,0,flat,4
20166,40.4288951,-3.6851305,0,34,0,flat,7
24997,39.4923669,-0.403406522,0,34,0,garage,1
28402,41.429183,2.172557757,0,34,0,flat,3
1762,40.3821335,-3.6660764,0,35,0,house,2
2716,37.38313682,-5.722569741,0,35,0,house,0
3020,40.34687047,-3.711891317,0,35,0,house,2
3465,36.62778708,-4.49757728,0,35,0,premise,2
4624,37.40669375,-5.934591122,0,35,0,flat,8
5604,37.27979317,-6.060260939,0,35,0,land,0
5662,37.36978651,-5.9461902,0,35,0,flat,5
6555,38.61354868,-1.112959562,0,35,0,garage,1
6570,38.61354868,-1.112959562,0,35,0,garage,1
7013,39.55432319,2.610904608,0,35,0,flat,8
7632,38.34677976,-0.487336061,0,35,0,garage,2
10097,41.56319803,2.004828299,0,35,0,garage,0
10165,41.52652125,1.98223129,0,35,0,land,0
16088,38.6989371,-0.472997512,0,35,0,flat,6
29771,40.42077988,-3.702050521,0,35,0,flat,4
30340,37.98481311,-1.138482773,0,35,0,premise,0
802,40.42843192,-3.676119436,0,36,0,flat,6
1528,40.50167038,-4.237218055,0,36,0,premise,2
1788,38.48351584,-0.788365914,0,36,0,flat,3
2844,41.61297694,0.617789859,0,36,0,garage,1
3800,36.72892421,-4.424266524,0,36,0,house,2
6393,43.38090978,-3.223627295,0,36,0,garage,1
6548,43.38090978,-3.223627295,0,36,0,garage,1
6549,43.38090978,-3.223627295,0,36,0,garage,1
6554,43.38090978,-3.223627295,0,36,0,garage,1
7326,41.61579811,0.627798532,0,36,0,office,4
13147,41.61579811,0.627798532,0,36,0,office,4
14311,39.56284066,2.622790044,0,36,0,flat,4
21011,41.37765721,2.189993173,0,36,0,flat,5
23107,40.25147784,-3.698943853,0,36,0,garage,2
28570,41.82795052,3.071497559,0,36,0,flat,8
29405,43.01380512,-7.551363646,0,36,0,garage,0
1358,40.3801803,-3.6933691,0,37,0,flat,4
3074,40.63026664,-4.007367979,0,37,0,flat,4
3520,42.34282328,-3.690519839,0,37,0,garage,1
3626,36.72898958,-4.423768285,0,37,0,house,2
3652,36.72898958,-4.423768285,0,37,0,flat,3
